plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
38435,13.81,,69,0,0.0,0.0,-1.2902857790110038,
38436,13.022,,69,0,0.0,0.0,-1.237752445678021,
38437,13.022,,69,0,0.0,0.0,-1.237752445678021,
38438,13.022,,69,0,0.0,0.0,-1.237752445678021,
38439,13.022,,69,0,0.0,0.0,-1.237752445678021,
38440,13.022,,71,0,0.0,0.0,-1.261281857442699,
38441,13.022,,76,0,0.0,0.0,-1.3201053868543946,
38442,13.022,,75,0,0.0,0.0,-1.3083406809720557,
38443,13.022,,76,0,0.0,0.0,-1.3201053868543946,
38444,11.852,,77,0,0.0,0.0,-1.2538700927372537,
38445,10.294,,74,0,0.0,0.0,-1.114709308424262,
38446,8.989,,75,0,0.0,0.0,-1.039474014307181,
38447,8.989,,75,0,0.0,0.0,-1.039474014307181,
38448,8.989,,75,0,0.0,0.0,-1.039474014307181,
38449,10.412,,77,0,0.0,0.0,-1.1578700927378935,
38450,8.989,,76,0,0.0,0.0,-1.05123872018952,
38451,14.623,,69,0,0.0,0.0,-1.3444857790106424,
38452,14.623,,66,0,0.0,0.0,-1.3091916613636252,
38453,9.601,,65,0,0.0,0.0,-0.9626269554835182,
38454,11.413,,67,0,0.0,0.0,-1.106956367247391,
38455,11.413,,65,0,0.0,0.0,-1.0834269554827127,
38456,10.896,,68,0,0.0,0.0,-1.0842544064632933,
38457,14.623,,69,0,0.0,0.0,-1.3444857790106424,
38458,14.45,,72,0,0.0,0.0,-1.3682465633244032,
38459,14.45,,72,0,0.0,0.0,-1.3682465633244032,
38460,14.45,,69,0,0.0,0.0,-1.332952445677386,
38461,14.45,,69,0,0.0,0.0,-1.332952445677386,
38462,14.45,,70,0,0.0,0.0,-1.344717151559725,
38463,14.45,,69,0,0.0,0.0,-1.332952445677386,
38464,14.45,,70,0,0.0,0.0,-1.344717151559725,
38465,14.45,,70,0,0.0,0.0,-1.344717151559725,
38466,14.45,,70,0,0.0,0.0,-1.344717151559725,
38467,13.445,,71,0,0.0,0.0,-1.2894818574425109,
38468,11.646,,74,0,0.0,0.0,-1.2048426417569944,
38469,11.646,,75,0,0.0,0.0,-1.2166073476393335,
38470,9.97,,72,0,0.0,0.0,-1.069579896659728,
38471,8.613,,74,0,0.0,0.0,-1.0026426417583425,
38472,8.613,,74,0,0.0,0.0,-1.0026426417583425,
38473,8.613,,74,0,0.0,0.0,-1.0026426417583425,
