plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
13089,9.337,,289,,,,-1.265125848836105,
13090,9.337,,278,,,,-1.233875848836114,
13091,9.199,,284,,,,-1.2371213033817017,
13092,9.534,,284,,,,-1.2706213033813667,
13093,9.534,,287,,,,-1.2791440306540915,
13094,9.534,,285,,,,-1.273462212472275,
13095,9.534,,295,,,,-1.3018713033813578,
13096,9.534,,303,,,,-1.324598576108624,
13097,8.862,,298,,,,-1.2431940306547544,
13098,7.51,,305,,,,-1.1278803942924644,
13099,8.434,,296,,,,-1.1947122124733658,
13100,8.434,,292,,,,-1.1833485761097329,
13101,8.434,,291,,,,-1.1805076670188244,
13102,9.089,,299,,,,-1.268734939745436,
13103,9.089,,296,,,,-1.260212212472711,
13104,8.434,,288,,,,-1.1719849397460995,
13105,8.397,,288,,,,-1.1682849397461368,
13106,9.226,,286,,,,-1.2455031215634913,
13107,8.797,,282,,,,-1.191239485200287,
13108,8.797,,269,,,,-1.1543076670184793,
13109,9.619,,263,,,,-1.2194622124722077,
13110,9.619,,263,,,,-1.2194622124722077,
13111,8.797,,261,,,,-1.131580394291213,
13112,8.797,,268,,,,-1.151466757927571,
13113,8.797,,271,,,,-1.159989485200296,
13114,8.797,,271,,,,-1.159989485200296,
13115,8.797,,295,,,,-1.228171303382095,
13116,7.78,,295,,,,-1.1264713033831115,
13117,7.78,,302,,,,-1.1463576670194695,
13118,6.405,,309,,,,-1.0287440306572029,
13119,6.498,,311,,,,-1.0437258488389265,
13120,9.488,,316,,,,-1.3569303942904776,
13121,6.498,,304,,,,-1.0238394852025683,
13122,6.498,,303,,,,-1.02099857611166,
13123,6.498,,303,,,,-1.02099857611166,
13124,8.277,,311,,,,-1.2216258488371472,
13125,9.67,,274,,,,-1.2558122124721478,
13126,9.736,,269,,,,-1.2482076670175404,
13127,9.978,,273,,,,-1.2837713033809313,
13128,9.317,,280,,,,-1.2375576670179504,
13129,9.317,,277,,,,-1.2290349397452256,
13130,9.317,,279,,,,-1.2347167579270422,
13131,9.317,,281,,,,-1.2403985761088587,
13132,9.269,,285,,,,-1.24696221247254,
13133,9.269,,285,,,,-1.24696221247254,
13134,9.269,,281,,,,-1.2355985761089068,
13135,9.269,,275,,,,-1.218553121563457,
13136,9.269,,275,,,,-1.218553121563457,
13137,9.269,,277,,,,-1.2242349397452736,
13138,9.269,,273,,,,-1.2128713033816405,
13139,9.269,,275,,,,-1.218553121563457,
13140,9.269,,287,,,,-1.2526440306543565,
13141,9.568,,293,,,,-1.2995894851995071,
13142,9.568,,293,,,,-1.2995894851995071,
13143,9.269,,307,,,,-1.309462212472522,
13144,7.803,,311,,,,-1.1742258488376212,
13145,7.803,,314,,,,-1.182748576110346,
13146,7.082,,314,,,,-1.110648576111067,
13147,6.006,,303,,,,-0.971798576112152,
13148,6.006,,292,,,,-0.9405485761121608,
13149,9.506,,286,,,,-1.273503121563211,
13150,8.605,,284,,,,-1.1777213033822955,
13151,8.443,,274,,,,-1.1331122124733746,
13152,8.778,,262,,,,-1.1325213033821404,
13153,8.778,,284,,,,-1.1950213033821226,
13154,8.778,,281,,,,-1.1864985761093978,
13155,9.533,,314,,,,-1.355748576108616,
13156,8.778,,305,,,,-1.2546803942911966,
13157,8.778,,310,,,,-1.268884939745738,
13158,8.778,,320,,,,-1.2972940306548209,
13159,8.778,,317,,,,-1.288771303382096,
13160,8.778,,310,,,,-1.268884939745738,
13161,8.778,,288,,,,-1.2063849397457558,
13162,8.778,,301,,,,-1.2433167579275637,
13163,8.778,,290,,,,-1.2120667579275723,
13164,8.778,,289,,,,-1.209225848836664,
13165,9.998,,284,,,,-1.3170213033809026,
13166,9.998,,286,,,,-1.3227031215627192,
13167,8.778,,259,,,,-1.1239985761094156,
13168,8.778,,257,,,,-1.118316757927599,
13169,8.851,,258,,,,-1.1284576670184343,
13170,7.374,,269,,,,-1.0120076670199023,
13171,7.374,,284,,,,-1.0546213033835266,
13172,9.926,,283,,,,-1.3069803942900662,
13173,9.926,,287,,,,-1.318344030653699,
13174,9.926,,280,,,,-1.298457667017341,
13175,8.797,,276,,,,-1.1741940306548373,
13176,8.797,,271,,,,-1.159989485200296,
13177,8.797,,272,,,,-1.1628303942912042,
13178,8.797,,256,,,,-1.1173758488366716,
13179,9.705,,257,,,,-1.211016757926672,
13180,9.705,,252,,,,-1.1968122124721303,
13181,8.797,,244,,,,-1.0832849397457722,
13182,8.797,,229,,,,-1.040671303382148,
13183,8.797,,228,,,,-1.0378303942912397,
13184,8.656,,234,,,,-1.0407758488368304,
13185,8.656,,239,,,,-1.0549803942913718,
13186,9.425,,235,,,,-1.1205167579269697,
