CUT,partido,votos
04202,PARTIDO DE LA GENTE,1149
04202,PARTIDO DEMOCRATA CRISTIANO,194
04202,PARTIDO DEMOCRATAS CHILE,41
04202,PARTIDO NACIONAL LIBERTARIO,254
04202,PARTIDO POR LA DEMOCRACIA,867
04202,PARTIDO RADICAL DE CHILE,44
04202,PARTIDO REPUBLICANO DE CHILE,346
04202,PARTIDO SOCIAL CRISTIANO,244
04202,PARTIDO SOCIALISTA DE CHILE,317
04202,RENOVACION NACIONAL,165
04202,UNION DEMOCRATA INDEPENDIENTE,507
04203,EVOLUCION POLITICA,106
04203,FEDERACION REGIONALISTA VERDE SOCIAL,125
04203,FRENTE AMPLIO,927
04203,IGUALDAD,674
04203,IND,33866
04203,MOVIMIENTO AMARILLOS POR CHILE,349
04203,PARTIDO ACCION HUMANISTA,435
04203,PARTIDO COMUNISTA DE CHILE,784
04203,PARTIDO DE LA GENTE,1927
04203,PARTIDO DEMOCRATA CRISTIANO,319
04203,PARTIDO DEMOCRATAS CHILE,96
04203,PARTIDO NACIONAL LIBERTARIO,959
04203,PARTIDO POR LA DEMOCRACIA,343
04203,PARTIDO RADICAL DE CHILE,118
04203,PARTIDO REPUBLICANO DE CHILE,723
04203,PARTIDO SOCIAL CRISTIANO,588
04203,PARTIDO SOCIALISTA DE CHILE,2040
04203,RENOVACION NACIONAL,781
04203,UNION DEMOCRATA INDEPENDIENTE,800
04204,EVOLUCION POLITICA,135
04204,FEDERACION REGIONALISTA VERDE SOCIAL,169
04204,FRENTE AMPLIO,737
04204,IGUALDAD,847
04204,IND,42658
04204,MOVIMIENTO AMARILLOS POR CHILE,388
04204,PARTIDO ACCION HUMANISTA,583
04204,PARTIDO COMUNISTA DE CHILE,908
04204,PARTIDO DE LA GENTE,3350
04204,PARTIDO DEMOCRATA CRISTIANO,337
04204,PARTIDO DEMOCRATAS CHILE,201
04204,PARTIDO NACIONAL LIBERTARIO,1153
04204,PARTIDO POR LA DEMOCRACIA,1280
04204,PARTIDO RADICAL DE CHILE,279
04204,PARTIDO REPUBLICANO DE CHILE,1277
04204,PARTIDO SOCIAL CRISTIANO,698
04204,PARTIDO SOCIALISTA DE CHILE,1085
04204,RENOVACION NACIONAL,628
04204,UNION DEMOCRATA INDEPENDIENTE,1061
04301,EVOLUCION POLITICA,379
04301,FEDERACION REGIONALISTA VERDE SOCIAL,611
04301,FRENTE AMPLIO,1757
04301,IGUALDAD,2665
04301,IND,167899
04301,MOVIMIENTO AMARILLOS POR CHILE,1402
04301,PARTIDO ACCION HUMANISTA,1979
04301,PARTIDO COMUNISTA DE CHILE,4529
04301,PARTIDO DE LA GENTE,10340
04301,PARTIDO DEMOCRATA CRISTIANO,1480
04301,PARTIDO DEMOCRATAS CHILE,438
04301,PARTIDO NACIONAL LIBERTARIO,4079
04301,PARTIDO POR LA DEMOCRACIA,1096
04301,PARTIDO RADICAL DE CHILE,418
04301,PARTIDO REPUBLICANO DE CHILE,4576
04301,PARTIDO SOCIAL CRISTIANO,5860
04301,PARTIDO SOCIALISTA DE CHILE,7524
04301,RENOVACION NACIONAL,10180
04301,UNION DEMOCRATA INDEPENDIENTE,3437
04302,EVOLUCION POLITICA,39
04302,FEDERACION REGIONALISTA VERDE SOCIAL,89
04302,FRENTE AMPLIO,612
04302,IGUALDAD,359
04302,IND,20650
04302,MOVIMIENTO AMARILLOS POR CHILE,223
04302,PARTIDO ACCION HUMANISTA,298
