CUT,cod_candidato,nombre_candidato,partido,pacto,votos
9201,66022054,EDUARDO CUELLAR FERREIRA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,187.0
9201,66022055,EMILIA COÑUMIL QUIÑIMIL,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",389.0
9201,66022056,LAUTARO GUANCA VALLEJOS,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",101.0
9201,66022057,JUAN PABLO JARAMILLO GONZALEZ,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",168.0
9201,66022058,ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,5909.0
9201,66022059,PATRICIO POZA BARRERA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,790.0
9201,66022060,LUIS PENCHULEO MORALES,FRENTE AMPLIO,UNIDAD POR CHILE,670.0
9201,66022061,MANUELA ROYO LETELIER,FRENTE AMPLIO,UNIDAD POR CHILE,597.0
9201,66022062,XIMENA SEPULVEDA VARAS,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,193.0
9201,66022063,MARCELA ROA SUAZO,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,323.0
9201,66022064,JAVIERA FRANCISCA VICTORIA IBARRA LARENAS,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,273.0
9201,66022065,LLERY YANIRA CARRASCO ESPINOZA,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,165.0
9201,66022066,EDITH ELENA PALMA MENDEZ,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,100.0
9201,66022067,DANIELA NATALY GONZALEZ FARIÑA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,1001.0
9201,66022068,GUIDO ANTONIO DIAZ VERGARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,1233.0
9201,66022069,ALEXIS OJEDA ALTAMIRANO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,536.0
9201,66022070,PATRICIA DEL CARMEN MUÑOZ BELTRAN,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,358.0
9201,66022071,RAMIRO ADRIAN RODRIGUEZ MAUREIRA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,280.0
9201,66022072,JUAN CARLOS BELTRAN SILVA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,1496.0
9201,66022073,EDUARDO CRETTON REBOLLEDO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,5255.0
9201,66022074,VICTOR MANOLI NAZAL,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,4963.0
9201,66022075,JORGE SAFFIRIO ESPINOZA,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,888.0
9201,66022076,GLORIA NAVEILLAN ARRIAGADA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,2442.0
9201,66022077,VICTOR BADILLA URRA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,2692.0
9201,66022078,ROBERTO QUINTANA BURGOS,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,286.0
9201,66022079,FELIPE MARTINEZ REYES,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,2667.0
9201,66022080,DEBORAH NEGRETE PLAZA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,527.0
9202,66022051,VALENTINA SAEZ CASANOVA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,281.0
9202,66022052,RAUL HUILCAL BARRIA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,130.0
9202,66022053,WANGLEN MILA HUENUMILLA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,161.0
9202,66022054,EDUARDO CUELLAR FERREIRA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,109.0
9202,66022055,EMILIA COÑUMIL QUIÑIMIL,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",438.0
9202,66022056,LAUTARO GUANCA VALLEJOS,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",67.0
9202,66022057,JUAN PABLO JARAMILLO GONZALEZ,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",122.0
